Disease,Drug,Symptoms,Review,Sentiment,Rating,UsefulCount
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I have been to scared to use the bathroom all day. After one dose of Macrobid (3ish hours after) I already have relief! I seriously can&#039;t believe it&#039;s working this fast.""",Negative,10,6
urinary tract infection,Cipro,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Kept getting Cipro for UTI&#039;s. Would go away and resurface 6 weeks later . Then began the excruciating pain in legs and ankles, brain fog, a whole list of things going wrong. Do your research and only if you are on deaths door agree to take this poison .  It may work at first but you are likely to pay months and years later. So not worth it!""",Negative,1,22
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""This medicine is amazing. I have taken this for three different urinary tract infections and it has cured them in only one day, seriously. I give it a rating of 11.""",Positive,10,101
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I was diagnosed with a UTI about 2 weeks ago and was put on this medicine for 7 days. The burning and urgency symptoms went away, but I still feel &quot;uncomfortable&quot;. I called my doctor and she refilled my prescription, so after another 7 days if I&#039;m not better, I will go back in to see what&#039;s going on. 

I take the pill once in the morning and once at night (with food). 

Symptoms: I&#039;ve taken this medication before and maybe it&#039;s just me, but I feel like my mood changes when I&#039;m on it. I feel super emotional and just get super upset and even feel angry at times. So ready to be off of it in a few days...""",Positive,6,9
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I have a hyper sensitive system to medications, but didn&#039;t experience most of these symptoms. I did, however, have muscle and tendon issues. I&#039;ve had many UTI&#039;s over the years and after taking the full week&#039;s dosage,  This medication ddi not work at all for me. I had 2 pill/day x 7 days got 0 results. Still in pain and have the urgency thing going on. Doctor wanted to refer me to a urologist. What a racket!!! Give me my Cipro back. It&#039;s the ONLY thing that works for me.""",Negative,1,1
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Been on 200 mg day for 3 of 4 weeks. Restarted after first 2. Have my doubts I am winning the battle on this one. Test does not show resistance built up but when it comes toward time for the next pill the soreness and all start kicking in. Of course I think there is a stone a hiding some where - we will see""",Negative,3,5
urinary tract infection,Cipro,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Wow, many of your reviews are very helpful. I am a vibrant, healthy &amp; semi-athletic post-menopausal female. I ignored symptoms which were later diagnosed as CTI; acute abdomen pressure, urge to urinate every few minutes with pulsing and finally, bloody urine. Cipro worked for me within the 1st 24 hrs ...500 mg 2x p/day for 5 days... No side effects, only relief...""",Positive,9,113
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Took this medication for my UTI and on the 3rd day it gave me a very bad yeast infection.""",Negative,1,16
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I was prescribed Cipro for five days (2 a day).  I took one the first day. That night I had terrible scary hallucinations.  I couldn&#039;t sleep (obviously when you see faces in your window, black hooded creature in your mirror, etc.). The next day I took one pill in the morning and one at night.  I was very shaky that day and pretty much out of it.  I had a hard time focusing.  That night I had more hallucinations than the night before. Scared me a lot!  Third day I only took1/2 a pill. Still had hallucinations and music playing only in my ears, no one else could hear it. It was the worst experience of my life.  I called the doctor, explained my situation, and he prescribed something else and it worked. Slept like a baby.""",Negative,1,7
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I am reading the comments and I am really surprised at how long and at how high a dosage some people with urinary tract infections are reporting.  I went to the doctor this morning because I have a UTI, but I was given 6 Cipro pills, each 250 mg to be taken twice a day.  From what I understand, most doctors will try this 3 day fix and not put you on an extended dose.  I am reading comments that some people are on for 10 days.  I am all for stamping out an infection, but I want to do it with as little medication as possible. So far so good.  Who knows, I might need a new prescription but for now I am hoping that this modest approach of a 3 day treatment will do the trick.""",Positive,9,90
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Day two taking the antibiotic and feeling tired and depressed. My hands feel icy. I missed work because of the depressed and tired feeling. I will never take this drug again. I feel like Ive been poisoned.""",Negative,1,10
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""No health insurance. Went to the ER for UTI and was prescribed Bactrim. UTI symptoms quickly subsided (didn&#039;t disappear completely but like 90% better) so that was nice. Then the Bactrim symptoms started. Oh man. I had a different set of symptoms every day. First it was tingly hands and severe fatigue. Then I had a full blown panic attack (depression and anxiety can be made worse by Bactrim apparently so I tried to keep reminding myself of that). Last couple of days I&#039;ve had headaches and bad nausea. I&#039;m on day 6 of my 7 day course now-- gonna try my best to make it through the whole course but wowww it&#039;s tough. I just hope these symptoms clear up once my pills are gone. It got its job done but made me miserable in the process!""",Negative,6,18
urinary tract infection,Bactrim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Bactrim cleared up my urinary tract infection, but gave me a raging yeast infection.  I now request Keflex for UTI&#039;s.""",Negative,4,45
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Never had UTI before but I heard it was awful. When I got it didn&#039;t notice symptoms until 2 days later. Lots of blood in my urine so I went to a minut clinic and was prescribed Nitrofurantoin. After the 3rd day all symptoms were gone. The side effects were bad: nausea, vomiting, and loss of appetite. I think maybe the strength was too high but the urinary tract infection is gone so that&#039;s all I care about.""",Negative,8,18
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I normally get UTI All the time, I also suffer from Interstitial cystitis (IC) of the bladder, so it&#039;s hard to tell when I have a UTI or just a flare from my IC. I saw my Dr. Last week, and I had some burning, So I figured might as well get my urine checked, came back I have a UTI, my Dr. Called in antibitic, I assumed it would be Levaquin that&#039;s the one I have always gotten, really the only one that I get no side effects, will only take that or cipro, so when hubby came back with macrobid, I emailed my Dr. Thinking he forgot, he said the kind of UTI I have Levaquin will not work on it, I am on 4th day 2xday no side effects but still burning &amp; pressure!so not sure if it is working.""",Negative,5,0
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I went to the ER for pain in my lower back &amp; my stomach. The Dr said I had an UTI which I didn&#039;t think that was the case cause I didn&#039;t have the symptoms of a UTI. Anyways, I started using the pills (Antibiotics) &amp; about an hour of using it I felt nauseas, dizzy &amp; started vomiting,itch all over my body &amp; also I lost my appetite. I throw the pills away, I don&#039;t recommend them at all. I never have been allergic to any medication in my life.""",Negative,1,1
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Taken 3 doses of this stuff for UTI 
It&#039;s godawful... I went to work with a boiling forehead and headaches, took some pain pills for the headache but my forehead still felt like it was melting off. Go home, take my third dose, headache comes back and is wicked... my tongue is cramping and my throat feels strange, I&#039;m afraid to fall asleep. Never taking this stuff ever again.""",Negative,2,13
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""These things are all true, but it is also a very urinary specific drug that does the job when a lot of broad-spectrum antibiotics won&#039;t.""",Positive,8,3
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I will never take Cipro again.  After the 3rd pill, I developed tingling in my hands, legs, and feet. I stopped taking it, but the symptoms still persist.  I cannot sleep at night and the tingling is constant.  I&#039;ve read this is called being &quot;floxied&quot; and is more common than you might think.  I am seeing a Naturopathic doctor next week to try to reverse these awful side effects.  Don&#039;t take Cipro!""",Negative,1,32
urinary tract infection,Macrobid,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I absolutely love this medication. Works really fast, I didn&#039;t leave me with any side effects, and makes me feel better within a few hours! I will never take another medication for a urinary tract infection again besides this one!""",Positive,10,63
urinary tract infection,Bactrim DS,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I&#039;m 21 years old with my first UTI. My symptoms started on Saturday (constant urge to go, lower abdominal pressure/cramps, and an extremely uncomfortable urge to continue voiding even after I was done, and dark yellow/brown urine) went to the doctor yesterday(Wednesday) and was prescribed a 7 day prescription to bactrim. My symptoms seemed to dissipate within hours (was still feeling them just not as severe) I&#039;ve taken 3 doses and all my symptoms have stopped and I can have full voids. Not feeling any side effects From the medication, but glad to be feeling better. Urine was still sent in for a culture. Been drinking lots of cranberry juice and water at my doctors recommendation to &quot;flush&quot; everything out. Feel much better""",Positive,10,13
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""This did not work. It made me dizzy and tied my stomach in knots. Provided absolutely no relief for my UTI.""",Negative,1,14
urinary tract infection,Cipro,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Neuropathy and about 25 different side effects dealing with neuropathy that lasted over 2 years.  Stay away from this drug""",Neutral,1,40
urinary tract infection,Cipro,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I took this 2 times for the same UTI.  Although it helped minimize some of the symptoms, it did not cure my UTI.  I have taken 6 rounds of antibiotics (2x Cipro) and have finally been prescribed Augmentin.  Hopefully it will work!""",Positive,3,37
urinary tract infection,Bactrim DS,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Works well for me but also gave me yeast infections.""",Positive,9,38
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""So I am on day 2 out of 5. First day was awful, 20 mins after my first dose I started getting extremely itchy on my throat, neck, and face; my bottom lip flared up and I got really nauseous. I turned the fan on, drank a bunch of water and lied down.I was going to discontinue it but after  a good hour all my symptoms went down. I decided to try it again this morning and i&#039;m feeling fine! Still a little burning when I urinate but it is so much better now. Hoping this will work.""",Positive,8,18
urinary tract infection,Amoxicillin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I took Amoxicillin and Potassium Clevolunate as per Doctor&#039;s prescription and my symptoms of backpain and fever felling diminished within two hours.""",Neutral,9,3
urinary tract infection,Bactrim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I&#039;m currently on bactrim, first day taking the medication and I saw an immediate difference. My Uti&#039;s are horrible, I&#039;m normally awaken from my sleep, as they hurt that bad. I&#039;m up for hours on hours sitting on the toilet due to the urge. Bactrim is helping this a lot. Also I see a lot of people are feeling sick while taking this medicine, my doctor recommends that I take the medicine with food, hope this helps you guys in the future if you&#039;re experiencing sickness.""",Negative,10,35
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Horrible tablet I have ever taken but cleared it up but on the 3rd day feeling sick from having to dissolve the tablet in a drink and then drinking as I can&#039;t seem the swallow it and it dissolves as soon as I put it in my mouth. I wouldn&#039;t recommend it as it&#039;s the first time ever I&#039;ve felt so nauseous from taking a UTI tablet as before I was on the capsules and I could swallow them perfectly and didn&#039;t feel any nausea.""",Positive,5,3
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I had a urinary tract infection so bad that when I pee it smells but when I started taking ciprofloxacin it worked it&#039;s a good medicine for a urinary tract infections.""",Positive,10,62
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Took first pill and symptoms went away. Second pill I started getting tingling and burning in my back 4 hours after taking the medication. Second pill made the back symptoms go away but introduced a intense pressure in my bladder and pelvic area. 4 hours later it went away then the back pains started again, and 10x worse. My spine had sharp spike of pains in it. I was rushed to ER and was told to stay off the pills. They didn&#039;t know what caused the reaction (obviously they can&#039;t admit it was the pill) and sent me home with some ativan to relax my body. Stopped for 2 days and the spiking pains are still in my back and spine on and off. Also felt weak and lost feelings in my legs.

Be careful, if you see symptoms stop right away. Do not risk!""",Negative,1,5
urinary tract infection,Doxycycline,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I was prescribed 100mg/2x a day for 7 days to treat a pelvic pain/UTI. It worked, but a couple of days later the UTI returned. The doctor prescribed a second week of 100mg/2x a day for an additional week, during that week, I experienced fever, chills, severe headache, confusion, major nausea and vomited twice.  I went to Urgent Care tonight, because it feels like a pill has been stuck burning my throat for 3 days.  The Urgent Care doctor acknowledged swollen glands, and raw, bright-red throat, and tested for mono and strep-both tests came back negative.  So now I&#039;m home, still in pain, without any answers, just a large medical bill.  If you must take doxy, be aware of the possible side effects.  
I""",Negative,6,57
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Been taking this medication since last Mon,,,never ever felt so Ill in my whole life constant headache,,nausea,so lethargic,only two left to take,,I will never take these again,I have continued with them as Dr prescribed but yes uti has cleared,,,these tablets have severe side effects""",Negative,10,10
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Very good experience with some minor side effects.....minor and worth having rather than being in the hospital with a kidney infection! I read some of the reviews on here. I have health anxiety and a bit of hypochondria and I am afraid to take medications. I was hesitant to take this one as well after reading the reviews. Only side effects I felt was some mild diarrhea, headache, some muscle aches, fatigue, mild pelvic and side pain and chills (which could have been from the UTI rather than a side effect of the medication). Please take the bad reviews with a grain of salt. Everyone responds differently to medications and my experience was good with this. Don&#039;t take UTI&#039;s lightly as they can lead into more serious problems.""",Negative,10,46
urinary tract infection,Levaquin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I am allergic to a lot of antibiotics (and always get side effects!) and get sick a lot. I used to take Z-Packs almost once a month and now I wonder why I hadn&#039;t tried Levaquin sooner! This is my 3rd time on Levaquin this year. I took it twice for my chronic ear infection with success. The first time my joints felt like I was an arthritic old lady! The 2nd time I had only some ankle and finger pain. I&#039;m on day 1 today for a urinary tract infection and ear infection from a water park. I can feel it working and I have no joint pain.""",Negative,9,59
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Began taking this medicine when I was in pain for a strong UTI. This medicine has made me feel the worst I&#039;ve ever felt in my life. Constantly throwing up, extremely high fever (104), dizzy, confused, blurred vision, chills, insomnia, and the most painful back, ribs, neck, and leg pain. As well, it makes you urinate less frequently and that put together with not being able to hold down water, how is this supposed to make me &quot;better&quot;? I have never been one who is sensitive to medication but due to the amount of dehydration and pain I&#039;ve been caused I&#039;m currently sitting in a hospital hooked up to an IV. I wouldn&#039;t suggest this medication to anyone, ever.""",Negative,1,14
urinary tract infection,Ceftriaxone,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Received Rocephin injection in left hip for urinary tract infection. The injection itself was not any worse than any other I&#039;ve received, but as the medicine starts making its way into the body it becomes very uncomfortable. It feels very bruised and knotty at the injection site. However, I know this medicine works very well for this condition as I&#039;ve had this twice previously, otherwise I would not put myself through the discomfort. It is only painful from about 2-3 minutes following the injection up to about 30 minutes following when the pain wears down to barely noticeable except when the area is touched.  Its highly worth the brief pain and discomfort.  I always feel much better within 24 hours following the shot.""",Negative,9,93
urinary tract infection,Hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""This medication definitely was effective in taking away the symptoms of urgency after I had a urinary procedure done. It worked pretty fast within 30min. However the side effect if &quot;fluttering heart&quot; was very negative for me as I have an anxiety disorder so the heart palpitations triggered me to get very panicky. The side effect starting after an hour of taking it and subsided about 2-3 hrs afterwards. Overall I would recommend this medication because the effectiveness was excellent.""",Positive,6,56
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I have suffered from recurrent urinary tract infections since I became sexually active. I would get an infection every time I had sex with my boyfriend. I tried countless courses of antibiotics which apparently cleared the infection but when I had sex again i got another one. finally my doctor put me on nitrofurantoin and this cleared the infection immediately. I have still to finish the course. I haven&#039;t had sex while taking the last few courses to make sure the infection has cleared fully! """,Positive,8,21
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I read the side effects before taking this medicine, which you should probably never do, but I decided to give it a try anyways. Took one dose and was fine, after the next dose I started feeling not good. Got the chills and a slight fever, and made my already existing anxiety worse. It did however, make the urinary symptoms subside. However, when my original urinary culture returned, no bacteria was found??? needless to say, because of the side effects, I stopped after two doses.""",Negative,1,13
urinary tract infection,Macrobid,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""the first night I had a severe headache and very bad nightmares. I even googled if this was a side effect and I saw it was.""",Negative,1,8
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I was given ciprofloxacin three years ago when I started getting urinary tract infections. The first three times it helped, but the infection kept coming back. If this happens to you, make sure your doctor knows and tests you for other conditions. I have interstitial cystitis, which is now being treated with home remedies and diet. """,Positive,4,8
urinary tract infection,Macrobid,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I am on my 6th day of Macrobid and I still have symptoms of my urinary tract infections. I have awful headaches, the worst nausea and I&#039;m exhausted when taking this medication. """,Negative,1,55
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I took Nitrofurantoin for 7 days and while it cleared the UTI I have never felt so ill on it.  This was two and a half weeks ago and I suspect the side effects are still around but not as severe. Headaches, flu like feeling and ringing in my ears and chest congestion.  I don&#039;t feel back to normal.  Does anyone know how long it will take to get back to normal? I&#039;m in the UK.""",Positive,8,11
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""This medication is horrible. Went urgent care, the doc gave this med to treat kidney infection. Right after first dose I got a migraine and terrible stomach pains. I stopped taking after three days. Now, two days later I feel worse than I did initially. I can&#039;t see my dr for five more days. I think I&#039;ll go to ER, because I have fever and my kidneys are on fire. I read somewhere that this med is not for kidney infection. Guess I&#039;ll find out soon.""",Negative,1,5
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Nightmare antibiotics!!!!!!!!!!Yes. It took care of uti.......Right away. But!!!!!!!!!I felt tumbling in my entire body, couldn&#039;t breath ,felt like I was dying, chocking, and overall felt dizzy as hell....No more!!!!!!!!Theres no way....Do not take it. Try anything else. This is killing product....Disgrace!!!!!!!!!!!!!!!!""",Negative,1,16
urinary tract infection,Ciprofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I&#039;ve been feeling the symptoms of a UTI for 2 days now (it burns when I urinate and there&#039;s been a hint of blood) and good thing I had stock of this at home (500mg) since I was already prescribed this for a UTI once before. Just took a dose and after an hour fortunately the burning when peeing cleared but feeling slightly nauseous, confused and heavy. But I can say this works wonders for my UTI, worked for me before too!""",Positive,9,12
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Doctor prescribed Macrobid for a week for urinary tract infection. It did give me some relief initially however my infection is back. I&#039;m scheduled to see my Dr tomorrow.""",Positive,4,32
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Just finished 3 days of this for a UTI and though it has worked for the condition I feel terrible ! Feel like I have no energy and like I&#039;m going to pass out. Whole body aches ! Just phoned my chemist who told me this was quite common on this tablet and I should feel normal in a few days. Shame it&#039;s my wedding anniversary today as I just want to go to sleep all day. Won&#039;t take this one again it&#039;s not worth it.""",Negative,4,14
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I am on my 6th day of Macrobid and I still have symptoms of my urinary tract infections. I have awful headaches, the worst nausea and I&#039;m exhausted when taking this medication. """,Negative,1,55
